Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D94;0.771599;-1.067741;-0.785393;-0.448871;-0.311986;-0.435818;-2.541968;-1.921729;-0.400288
D49;0.771599;-1.111457;-0.818180;-0.465265;-0.317451;-0.441283;-2.520110;-1.949051;-0.422146
D66;0.791969;-1.102197;-0.827439;-0.457857;-0.304488;-0.439431;-2.503443;-1.965718;-0.414739
D36;0.790915;-1.104307;-0.829549;-0.459967;-0.306598;-0.443650;-2.977072;-1.989980;-0.415793
D102;0.787248;-1.132085;-0.872660;-0.464412;-0.324375;-0.464539;-2.992183;-1.965646;-0.423016
D93;0.817771;-1.160654;-0.954830;-0.472042;-0.312929;-0.484733;-2.998604;-1.957550;-0.412779
D17;0.844150;-1.146265;-0.950034;-0.464848;-0.300939;-0.477538;-2.984215;-1.955152;-0.415177
D34;0.824150;-1.168487;-0.956700;-0.469293;-0.298717;-0.490872;-2.986438;-2.275152;-0.421844
D79;0.824150;-1.168487;-0.965589;-0.484848;-0.300939;-0.495316;-2.984215;-2.272930;-0.444066
D27;0.827938;-1.217730;-0.973165;-0.439394;-0.304727;-0.529407;-3.101640;-2.189597;-0.459218
D82;0.824295;-1.223679;-0.980045;-0.443360;-0.310312;-0.539323;-3.108763;-2.194291;-0.458813
D95;0.861704;-1.219957;-0.999215;-0.432751;-0.296632;-0.551234;-3.094525;-2.137340;-0.453323
D10;0.900854;-1.199731;-1.044094;-0.409748;-0.265816;-0.552884;-3.060497;-2.121107;-0.440302
D70;0.901743;-1.211287;-1.071649;-0.410637;-0.275594;-0.563550;-3.066719;-2.151330;-0.466080
D96;0.921750;-1.207285;-1.083654;-0.408496;-0.269545;-0.576113;-3.051923;-2.114386;-0.468406
D44;0.921750;-1.207285;-1.083654;-0.408496;-0.269545;-0.576113;-3.051923;-2.123756;-0.468406
D43;0.902356;-1.288498;-1.200623;-0.549102;-0.276212;-0.605810;-3.207075;-2.111635;-0.490224
D12;0.914261;-1.300402;-1.153004;-0.608626;-0.288117;-0.629619;-3.195170;-2.147349;-0.454510
D38;0.895213;-1.319450;-1.153004;-0.608626;-0.294466;-0.610572;-3.204694;-2.045762;-0.454510
D40;0.911447;-1.342177;-1.207117;-0.614037;-0.292302;-0.602996;-3.225257;-1.964593;-0.458839
D2;0.971123;-1.442774;-1.196034;-0.706962;-0.289744;-0.637949;-3.215026;-2.025974;-0.558583
D9;1.015568;-1.531663;-1.212701;-0.790295;-0.311966;-0.621283;-3.287249;-1.909308;-0.536361
D46;1.049238;-1.533683;-1.259165;-0.807635;-0.302707;-0.630037;-3.265363;-1.788769;-0.551344
