Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D36;0.153724;-0.848349;-2.322532;0.009220;-0.314389;0.036881;-3.170810;-4.521469;-0.428706
D102;0.124724;-0.887793;-2.397976;-0.013558;-0.344389;-0.000119;-3.216810;-4.602247;-0.451484
D93;0.159807;-0.921294;-2.526489;0.013336;-0.320194;0.007046;-3.255615;-4.820561;-0.463395
D17;0.178991;-0.892517;-2.543275;0.003743;-0.322592;0.002250;-3.243625;-4.746220;-0.456201
D34;0.158991;-0.921406;-2.563275;-0.009590;-0.335926;-0.004416;-3.256958;-4.932887;-0.471757
D79;0.154547;-0.932517;-2.565498;-0.018479;-0.335926;-0.011083;-3.261403;-4.937331;-0.476201
D27;0.120456;-1.091608;-2.682922;-0.018479;-0.400320;-0.045174;-3.363675;-5.096422;-0.521655
D82;0.121792;-1.083190;-2.717121;-0.022243;-0.397729;-0.049262;-3.365213;-5.196956;-0.518094
D95;0.148965;-1.074349;-2.746528;-0.016473;-0.377350;-0.041538;-3.347160;-5.194816;-0.505903
D10;0.157645;-1.083811;-2.813802;0.007659;-0.360596;-0.042406;-3.322160;-5.412611;-0.500521
D70;0.164756;-1.081145;-2.820913;0.024548;-0.347263;-0.061961;-3.308827;-5.489056;-0.496077
D96;0.169967;-1.088589;-2.851622;0.022500;-0.345774;-0.063450;-3.306687;-5.505527;-0.492448
D44;0.169967;-1.088589;-2.851622;0.022500;-0.345774;-0.063450;-3.306687;-5.571123;-0.493786
D43;0.163907;-1.200710;-2.972834;-0.127803;-0.383956;-0.096784;-3.467899;-5.560819;-0.518635
D12;0.223431;-1.236425;-2.937120;-0.151612;-0.383956;-0.084879;-3.455994;-5.596534;-0.494825
D38;0.232954;-1.239599;-2.937120;-0.145263;-0.380781;-0.094403;-3.443295;-5.574312;-0.510698
D40;0.196158;-1.270985;-3.013960;-0.156086;-0.406755;-0.103061;-3.477927;-5.597039;-0.523685
D2;0.254981;-1.275247;-3.171675;-0.214057;-0.406755;-0.115849;-3.479633;-5.827218;-0.563754
D9;0.288315;-1.319692;-3.199453;-0.230723;-0.423422;-0.115849;-3.535188;-5.688329;-0.563754
D46;0.284443;-1.337200;-3.282113;-0.283585;-0.427799;-0.145983;-3.557410;-5.672841;-0.586312
D24;0.287815;-1.319347;-3.292055;-0.280386;-0.427323;-0.146761;-3.566359;-5.675780;-0.576456
D33;0.325943;-1.304376;-3.332991;-0.327989;-0.427207;-0.105358;-3.604487;-5.735312;-0.561486
D51;0.329497;-1.524561;-3.552891;-0.303824;-0.446681;-0.153403;-3.726307;-6.052015;-0.730213
D99;0.359277;-1.565836;-3.666267;-0.333082;-0.438844;-0.155493;-3.787435;-6.049402;-0.823212
D28;0.362367;-1.705510;-3.775047;-0.333244;-0.464535;-0.192566;-3.811825;-6.168264;-0.844838
D97;0.362799;-1.703672;-3.778075;-0.330811;-0.464318;-0.194080;-3.810528;-6.339149;-0.843703
D54;0.364964;-1.697178;-3.791062;-0.337304;-0.468647;-0.196245;-3.814857;-6.298023;-0.845867
D4;0.411631;-1.701623;-3.851062;-0.332860;-0.501981;-0.167356;-3.863745;-6.486912;-0.852534
D76;0.411631;-1.705326;-3.864025;-0.334712;-0.501981;-0.165504;-3.861894;-6.516542;-0.850682
D3;0.402107;-1.752945;-3.940216;-0.357569;-0.484838;-0.165504;-3.871417;-6.678447;-0.879254
D87;0.397721;-1.761717;-3.928520;-0.361955;-0.483376;-0.164042;-3.887499;-6.723768;-0.873406
D21;0.429028;-1.839065;-3.927599;-0.313152;-0.454831;-0.139180;-4.180317;-6.836107;-0.852227
D81;0.430777;-1.835568;-3.906963;-0.337986;-0.454481;-0.153871;-4.192209;-6.814771;-0.853976
D58;0.416894;-1.987320;-3.956859;-0.369326;-0.454343;-0.194833;-4.477295;-7.155939;-0.852326
D19;0.417783;-1.971320;-3.963304;-0.370215;-0.494418;-0.194833;-4.475962;-7.169199;-0.856178
D15;0.422579;-1.971320;-3.999275;-0.408584;-0.506408;-0.237998;-4.497545;-7.248335;-0.863372
D18;0.419246;-2.011320;-4.052608;-0.398584;-0.569741;-0.264665;-4.507545;-7.311669;-0.876706
D11;0.375043;-2.139823;-4.150435;-0.469599;-0.566360;-0.328192;-4.684356;-7.527369;-0.938300
D45;0.375043;-2.139823;-4.150435;-0.469599;-0.566360;-0.328192;-4.684356;-7.536740;-0.939639
D71;0.468376;-2.073156;-4.183768;-0.416265;-0.506360;-0.288192;-4.691023;-7.370073;-0.879639
D7;0.468376;-2.173156;-4.233768;-0.516265;-0.506360;-0.271525;-4.657690;-7.503407;-0.812972
D8;0.459487;-2.165749;-4.250805;-0.528117;-0.521174;-0.280414;-4.663986;-7.603777;-0.858157
D85;0.564345;-2.281997;-4.161693;-0.535487;-0.435077;-0.179576;-4.701507;-7.735100;-0.824656
