Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D116;0.771561;-2.596545;-1.506547;-1.579199;-16.163186;-0.396692;-1.697349;-4.822581;0.157462
D28;0.721561;-2.696283;-1.526547;-1.579199;-16.283186;-0.416692;-1.727349;-5.074961;0.127462
D65;0.747147;-3.072537;-1.714607;-1.841033;-16.953549;-0.432043;-1.735451;-5.337528;-0.273817
D31;0.729381;-3.073058;-1.776467;-1.835846;-17.252991;-0.448384;-1.761129;-5.192646;-0.25631
D76;0.700882;-3.150837;-2.183591;-1.854166;-18.057062;-0.511997;-1.709729;-5.579348;-0.426284
D92;0.800882;-3.141903;-2.283591;-1.954166;-18.377062;-0.571997;-1.789729;-5.579348;-0.426284
D115;0.841083;-3.223406;-2.538198;-1.975384;-19.025024;-0.606894;-1.819042;-5.560992;-0.3872
D91;0.830416;-3.215568;-2.583531;-1.96205;-19.118358;-0.614894;-1.821709;-5.637299;-0.397867
D27;0.851999;-3.218641;-2.59792;-1.96205;-19.118358;-0.600505;-1.807321;-5.449889;-0.390672
D36;0.829272;-3.390725;-2.632011;-1.950687;-19.493358;-0.680051;-2.000502;-5.309164;-0.492945
D106;0.824472;-3.419438;-2.651211;-1.981087;-20.240558;-0.744051;-2.013302;-5.50906;-0.507345
D53;0.837985;-3.411872;-2.867427;-1.986492;-20.778396;-0.752159;-2.194073;-5.60073;-0.485723
D8;0.937985;-3.403186;-2.917427;-1.886492;-20.878396;-0.652159;-2.144073;-5.467397;-0.435723
D54;0.941232;-3.46327;-3.083011;-1.899479;-21.131642;-0.652159;-2.173294;-5.166748;-0.42923
D37;0.932939;-3.647956;-3.093255;-1.940942;-21.890667;-0.70289;-2.181587;-5.073519;-0.479962
D98;0.916273;-3.657595;-3.1877;-1.940942;-21.901778;-0.70289;-2.181587;-5.464144;-0.479962
D99;0.969606;-3.965163;-3.336033;-2.122609;-22.595111;-0.786224;-2.31492;-5.261371;-1.139962
D30;0.963799;-4.043024;-3.169947;-2.199264;-22.66712;-0.703762;-2.338149;-5.125321;-1.058661
D49;0.980697;-4.043897;-3.195263;-2.208758;-23.13231;-0.732243;-2.803339;-5.773983;-1.042838
D122;1.084594;-4.085624;-3.20825;-2.208758;-23.236206;-0.758217;-2.816326;-6.1945;-1.003877
D52;1.065546;-4.131554;-3.189203;-2.199234;-23.44573;-0.815359;-2.82585;-5.889738;-1.032448
D39;1.03126;-4.378235;-3.063488;-2.359234;-24.00573;-0.941074;-2.888707;-5.744355;-0.935306
D32;1.028498;-4.509659;-3.187798;-2.403433;-24.345509;-0.996322;-3.217436;-5.504251;-0.910444
D33;0.989824;-4.621401;-3.359069;-2.447632;-24.560979;-1.018422;-3.438431;-5.025176;-0.990554
D117;1.010762;-4.634054;-3.460688;-2.447632;-24.924742;-1.039081;-3.426147;-4.898934;-0.959566
D104;1.00894;-4.629131;-3.460445;-2.432576;-24.928249;-1.049765;-3.425176;-4.882922;-0.940868
D110;1.03971;-4.627719;-3.468137;-2.432576;-24.928249;-1.026689;-3.417483;-4.769061;-0.902406
D103;1.050203;-4.64073;-3.41777;-2.431527;-25.03423;-1.03928;-3.426927;-5.322941;-0.890864
D108;1.05687;-4.633082;-3.424437;-2.438193;-25.17423;-1.042614;-3.420261;-5.36803;-0.88753
D62;1.04887;-4.645009;-3.41377;-2.45686;-25.283563;-1.098614;-3.430927;-5.54803;-0.892864
D69;1.061857;-4.615514;-3.387796;-2.437379;-25.348498;-1.105107;-3.404953;-5.626422;-0.879876
