Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D102;0.298569;-1.316629;-0.351904;-0.973180;-1.841083;-1.696354;-0.650872;-1.396624;-0.819894
D93;0.305641;-1.349478;-0.490839;-0.988814;-2.054650;-1.734508;-0.678789;-1.407326;-0.822779
D17;0.296049;-1.397440;-0.510024;-1.034377;-2.100214;-1.813645;-0.695576;-1.419316;-0.829973
D34;0.271604;-1.475218;-0.516690;-1.083266;-2.166881;-1.862534;-0.746687;-1.530427;-0.834417
D79;0.267160;-1.566329;-0.496690;-1.094377;-2.260214;-1.813645;-0.855576;-1.637094;-0.903306
D27;0.233069;-1.604208;-0.481539;-1.105741;-2.252638;-1.874251;-0.840424;-1.663609;-0.956337
D82;0.277994;-1.611695;-0.460817;-1.095582;-2.287445;-1.872591;-0.845767;-1.659886;-0.939338
D95;0.264686;-1.617371;-0.518606;-1.099677;-2.437547;-1.922936;-0.833576;-1.685570;-0.942595
D10;0.323888;-1.578830;-0.432408;-1.130840;-2.420620;-1.798543;-0.803107;-1.640083;-0.909001
D70;0.298110;-1.585941;-0.427074;-1.138840;-2.444620;-1.877654;-0.800441;-1.650750;-0.908112
D96;0.289735;-1.587151;-0.513525;-1.134001;-2.600771;-1.907991;-0.804814;-1.665174;-0.907833
D44;0.284380;-1.564393;-0.485413;-1.132662;-2.595416;-1.916023;-0.783395;-1.635723;-0.910511
D43;0.309835;-1.566817;-0.475110;-1.142359;-2.637235;-1.908145;-0.810668;-1.632693;-0.912329
D12;0.321739;-1.650151;-0.415586;-1.130454;-2.649139;-1.931954;-0.798763;-1.644597;-0.924234
D38;0.353485;-1.669198;-0.387015;-1.171724;-2.642790;-1.970049;-0.820985;-1.650947;-0.914710
D40;0.318853;-1.665951;-0.391344;-1.199863;-2.648201;-1.977625;-0.812327;-1.676921;-0.884407
D2;0.352954;-1.754613;-0.417771;-1.261244;-2.749651;-2.119995;-0.904399;-1.853391;-0.926180
D9;0.408510;-1.804613;-0.501105;-1.377911;-2.871873;-2.192217;-0.993288;-2.047836;-0.948402
D46;0.386287;-1.808317;-0.616930;-1.384813;-2.873388;-2.330770;-0.996992;-2.056590;-0.946214
D24;0.423982;-1.792236;-0.573529;-1.383127;-2.868417;-2.316980;-0.992409;-2.060480;-0.943706
D33;0.458485;-1.810832;-0.590020;-1.420671;-2.905844;-2.304582;-1.022468;-2.093112;-0.958794
D51;0.481229;-1.846085;-0.541548;-1.472128;-3.010606;-2.259806;-1.027585;-2.123531;-0.943727
D99;0.512054;-1.884747;-0.595884;-1.471605;-3.032027;-2.303171;-1.044304;-2.170031;-0.963058
D28;0.566363;-1.895479;-0.501088;-1.462337;-3.042758;-2.340569;-1.044141;-2.167104;-0.969725
D97;0.566147;-1.896182;-0.502602;-1.464230;-3.063524;-2.352682;-1.044790;-2.167699;-0.969887
D54;0.620259;-1.848563;-0.474463;-1.453407;-3.059195;-2.402466;-1.029639;-2.143889;-0.967722
D4;0.664704;-1.981896;-0.416685;-1.495630;-3.228084;-2.455799;-1.098528;-2.230556;-0.974389
D76;0.653593;-2.004118;-0.498167;-1.517852;-3.289195;-2.526170;-1.180009;-2.326852;-1.026241
D3;0.645974;-2.175547;-0.543881;-1.582614;-3.321576;-2.560455;-1.214295;-2.380186;-1.035765
D87;0.641588;-2.187243;-0.615519;-1.585538;-3.325962;-2.598467;-1.206985;-2.372876;-1.034303
D21;0.686707;-2.238808;-0.634856;-1.643549;-3.369240;-2.615962;-1.256709;-2.411550;-1.062848
D81;0.680062;-2.294772;-0.731743;-1.634105;-3.371689;-2.627855;-1.250063;-2.402106;-1.058650
D58;0.727347;-2.374222;-0.736691;-1.653074;-3.490589;-2.645999;-1.289513;-2.436745;-1.067448
D19;0.730829;-2.371852;-0.765876;-1.664407;-3.492219;-2.687629;-1.285587;-2.432893;-1.064929
D15;0.702052;-2.381444;-0.758682;-1.659611;-3.506607;-2.735590;-1.273597;-2.432893;-1.055337
D18;0.715385;-2.374777;-0.735349;-1.612944;-3.476607;-2.742257;-1.270264;-2.412893;-1.022004
D11;0.738573;-2.440719;-0.723271;-1.688065;-3.494481;-2.694914;-1.299974;-2.414101;-1.055578
D45;0.721170;-2.471509;-0.673740;-1.732242;-3.590867;-2.700269;-1.310683;-2.466310;-1.083691
D71;0.787837;-2.484842;-0.667073;-1.785575;-3.737534;-2.626935;-1.384017;-2.446310;-1.110358
D7;0.871170;-2.468176;-0.633740;-1.818909;-3.720867;-2.626935;-1.400683;-2.412976;-1.110358
D8;0.859689;-2.530768;-0.660777;-1.834094;-3.793830;-2.692121;-1.423276;-2.420754;-1.134432
D85;0.848634;-2.732778;-0.694278;-1.877310;-3.787800;-2.734667;-1.536509;-2.474021;-1.130412
